頻出単語,登場回数,登場回数/全単語数(31937)%,登場レビュー率 /(113本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
カニ,13,0.04,6.14,0.11,1.85
くれる,13,0.04,9.64,0.11,1.18
入る,13,0.04,10.52,0.11,1.08
気持ち,13,0.04,7.89,0.11,1.44
高,13,0.04,8.77,0.11,1.3
ござい,13,0.04,4.38,0.11,2.6
帆,13,0.04,8.77,0.11,1.3
立,13,0.04,8.77,0.11,1.3
おいしい,13,0.04,8.77,0.11,1.3
イクラ,13,0.04,7.89,0.11,1.44
代わり,13,0.04,9.64,0.11,1.18
人気,13,0.04,10.52,0.11,1.08
暖簾,13,0.04,9.64,0.11,1.18
ください,13,0.04,7.01,0.11,1.62
まずは,13,0.04,11.4,0.11,1.0
名刺,13,0.04,10.52,0.11,1.08
具,13,0.04,8.77,0.11,1.3
こだわり,13,0.04,8.77,0.11,1.3
乗せ,13,0.04,7.01,0.11,1.62
話,13,0.04,7.01,0.11,1.62
系,12,0.03,6.14,0.1,1.71
女性,12,0.03,7.01,0.1,1.5
こんな,12,0.03,10.52,0.1,1.0
過ぎ,12,0.03,9.64,0.1,1.09
玉,12,0.03,9.64,0.1,1.09
具合,12,0.03,10.52,0.1,1.0
握る,12,0.03,8.77,0.1,1.2
そんな,12,0.03,9.64,0.1,1.09
とっても,12,0.03,8.77,0.1,1.2
ほた,12,0.03,7.89,0.1,1.33
すごい,12,0.03,7.89,0.1,1.33
かけ,12,0.03,9.64,0.1,1.09
たっぷり,12,0.03,7.89,0.1,1.33
満席,12,0.03,7.89,0.1,1.33
ヒラメ,12,0.03,7.01,0.1,1.5
焼き物,12,0.03,5.26,0.1,2.0
スタイル,12,0.03,7.89,0.1,1.33
もう,12,0.03,9.64,0.1,1.09
なん,12,0.03,8.77,0.1,1.2
安い,12,0.03,7.01,0.1,1.5
接客,12,0.03,9.64,0.1,1.09
たく,12,0.03,10.52,0.1,1.0
見え,12,0.03,8.77,0.1,1.2
色々,12,0.03,7.89,0.1,1.33
紹介,12,0.03,7.01,0.1,1.5
舌,12,0.03,7.89,0.1,1.33
ご飯,12,0.03,7.89,0.1,1.33
シマ,12,0.03,7.89,0.1,1.33
全く,12,0.03,7.89,0.1,1.33
次回,12,0.03,7.89,0.1,1.33
すべて,12,0.03,8.77,0.1,1.2
ビール,12,0.03,9.64,0.1,1.09
一体,12,0.03,8.77,0.1,1.2
旨い,12,0.03,7.89,0.1,1.33
び,12,0.03,0.87,0.1,12.0
僕,11,0.03,6.14,0.09,1.57
最近,11,0.03,8.77,0.09,1.1
残念,11,0.03,7.89,0.09,1.22
スタート,11,0.03,9.64,0.09,1.0
やり,11,0.03,3.5,0.09,2.75
